Grapheme	IPA	Notes
p	p	
pp	pː	
t	t	
tt	tː	
k	k	
kk	kː	
b	b	
bb	bː	
d	d	
dd	dː	
g	g	
gg	gː	
f	f	
ff	fː	
θ	θ	
ð	θ	allophonic
h	h	
s	s	
ss	sː	
m	m	
mm	mː	
n	n	
nn	nː	
l	l	
ll	lː	
r	r	
rr	rː	
z	ts	
x	ks	
v	w	
j	j	
a	a	
ā	aː	
y	y	
ȳ	yː	
i	i	
ī	iː	
u	u	
ū	uː	
o	o	
ō	oː	
ǫ	ɔ	
ø	ø	
æ	æː	
e	e	
ē	eː	
œ	ø	
œ̄	øː	
^	NULL	
$	NULL	
-	+	
