Grapheme	IPA	BIPA	CLTS_Name
3	ɜ	ɜ	unrounded_open-mid_central_vowel
)	͡	◌͡	NULL
I	ɪ	ɪ	unrounded_near-close_near-front_vowel
g\\	ɡ	g	voiced_velar_stop_consonant
`	̢	◌̢	NULL
n\	ȵ	ȵ	voiced_alveolo-palatal_nasal_consonant
_T	̋	◌̋	NULL
_$N\	ᶰ	◌ᶰ	NULL
B	β	β	voiced_bilabial_fricative_consonant
._d_d	ʭ	◌ʭ	NULL
_-	̠	◌̠	NULL
H	ɥ	ɥ	voiced_labio-palatal_approximant_consonant
O	ɔ	ɔ	rounded_open-mid_back_vowel
?\	ʕ	ʕ	voiced_pharyngeal_fricative_consonant
u\_w	ω	◌ω	NULL
p\	ɸ	ɸ	voiceless_bilabial_fricative_consonant
G	ɣ	ɣ	voiced_velar_fricative_consonant
X\	ħ	ħ	voiceless_pharyngeal_fricative_consonant
_m	̻	◌̻	NULL
(	̆	◌̆	NULL
_X	̆	◌̆	NULL
~	̃	◌̃	NULL
_$s	ˢ	◌ˢ	NULL
q_<	ʠ	ʛ̥	voiceless_uvular_implosive_consonant
z`	ʐ	ʐ	voiced_retroflex_sibilant_fricative_consonant
|\	ǀ	ǀ	voiceless_dental_click_consonant
D	ð	ð	voiced_dental_fricative_consonant
g_<	ɠ	ɠ	voiced_velar_implosive_consonant
9	œ	œ	rounded_open-mid_front_vowel
_$z	ᶻ	◌ᶻ	NULL
8	ɵ	ɵ	rounded_close-mid_central_vowel
_$p	ᵖ	◌ᵖ	NULL
$_o	˕	◌˕	NULL
$`	˞	◌˞	NULL
i_z	ɿ	ɿ	unrounded_close_with-frication_back_vowel
_+	̟	◌̟	NULL
K\	ɮ	ɮ	voiced_alveolar_lateral_fricative_consonant
_$N	ᵑ	◌ᵑ	NULL
_}	̚	◌̚	NULL
S_j;	ʆ	ʃʲ	palatalized_voiceless_post-alveolar_sibilant_fricative_consonant
i`	ʅ	ʅ	unrounded_close_with-frication_central_vowel
_B	̏	◌̏	NULL
L	ʎ	ʎ	voiced_palatal_lateral_approximant_consonant
_a	̺	◌̺	NULL
N\	ɴ	ɴ	voiced_uvular_nasal_consonant
<F>	↘	◌↘	NULL
r\	ɹ	ɹ	voiced_alveolar_approximant_consonant
_$3	ᵌ	◌ᵌ	NULL
_F	̂	◌̂	NULL
M\	ɰ	ɰ	voiced_velar_approximant_consonant
_y	ʸ	◌ʸ	NULL
_$O	ᵓ	◌ᵓ	NULL
_$r\`	ʵ	◌ʵ	NULL
t\	ȶ	ȶ	voiceless_alveolo-palatal_stop_consonant
N=	ŋ̍	ŋ̍	syllabic_voiced_velar_nasal_consonant
_$I\	ᶧ	◌ᶧ	NULL
_$6	ᵄ	◌ᵄ	NULL
_N	̼	◌̼	NULL
_$H	ᶣ	◌ᶣ	NULL
_>	ʼ	◌ʼ	NULL
)\	)	◌)	NULL
1	ɨ	ɨ	unrounded_close_central_vowel
N	ŋ	ŋ	voiced_velar_nasal_consonant
Q	ɒ	ɒ	rounded_open_back_vowel
_$Q	ᶛ	◌ᶛ	NULL
_$a	ᵃ	◌ᵃ	NULL
_~	̨	◌̨	NULL
d\	ȡ	ȡ	voiced_alveolo-palatal_stop_consonant
M	ɯ	ɯ	unrounded_close_back_vowel
l`	ɭ	ɭ	voiced_retroflex_lateral_approximant_consonant
._w_w	ʬ	◌ʬ	NULL
:0	◌	◌◌	NULL
m\	ɱ	ɱ	voiced_labio-dental_nasal_consonant
_o	̞	◌̞	NULL
&	æ	æ	unrounded_near-open_front_vowel
_$m\	ᶭ	◌ᶭ	NULL
t_S	ʧ	tʃ	voiceless_post-alveolar_sibilant_affricate_consonant
h\	ɦ	ɦ	voiced_glottal_fricative_consonant
_$d	ᵈ	◌ᵈ	NULL
_A	̘	◌̘	NULL
`\	`	◌`	NULL
S	ʃ	ʃ	voiceless_post-alveolar_sibilant_fricative_consonant
|\|\	ǁ	ǁ	voiceless_lateral_click_consonant
A`	ᴀ	ɑ̟	advanced_unrounded_open_back_vowel
__	͏	◌͏	NULL
_$r	ʳ	◌ʳ	NULL
_$s\	ᶝ	◌ᶝ	NULL
_^	̯	◌̯	NULL
_d	̪	◌̪	NULL
_$S	ᶴ	◌ᶴ	NULL
_=	̍	◌̍	NULL
8\	ɵ̟	ɵ̟	advanced_rounded_close-mid_central_vowel
+	˖	◌˖	NULL
_l	ˡ	◌ˡ	NULL
q\	ƣ	◌ƣ	NULL
_$8	ᶱ	◌ᶱ	NULL
Y	ʏ	ʏ	rounded_near-close_near-front_vowel
I\	ᵻ	◌ᵻ	NULL
F	ɱ	ɱ	voiced_labio-dental_nasal_consonant
_$i	ⁱ	◌ⁱ	NULL
_$E	ᵋ	◌ᵋ	NULL
_$o	ᵒ	◌ᵒ	NULL
7	ɤ	ɤ	unrounded_close-mid_back_vowel
_W	̫	◌̫	NULL
_H	́	◌́	NULL
4\`	ⱹ	◌ⱹ	NULL
_$L	ᶫ	◌ᶫ	NULL
d`	ɖ	ɖ	voiced_retroflex_stop_consonant
c\	ɕ	ɕ	voiceless_alveolo-palatal_sibilant_fricative_consonant
?	ʔ	ʔ	voiceless_glottal_stop_consonant
V	ʌ	ʌ	unrounded_open-mid_back_vowel
_(	̯	◌̯	NULL
9\	ʚ	ɞ	rounded_open-mid_central_vowel
||	‖	◌‖	NULL
_$?	ˀ	◌ˀ	NULL
$_r	˔	◌˔	NULL
_$h	ʰ	◌ʰ	NULL
F\	ⱱ	ⱱ	voiced_labio-dental_tap_consonant
J\	ɟ	ɟ	voiced_palatal_stop_consonant
_$D	ᶞ	◌ᶞ	NULL
n`	ɳ	ɳ	voiced_retroflex_nasal_consonant
4\	ɺ	ɺ	voiced_alveolar_lateral_tap_consonant
!\	ǃ	ǃ	voiceless_alveolar_click_consonant
Z_j	ʓ	◌ʓ	NULL
X	χ	χ	voiceless_uvular_fricative_consonant
_$P	ᶲ	◌ᶲ	NULL
_$m	ᵐ	◌ᵐ	NULL
t_<	ƭ	◌ƭ	NULL
x\	ɧ	ɧ	voiceless_palatal-velar_fricative_consonant
