Grapheme	Orthography	IPA	Structure
tsə	ts ə	ts ə	i n
tsəm	ts ə m	ts ə m	i n c
tu	t u	t u	i n
tuk	t u k	t u k	i n c
tz	tz	tz/ʈʂ	i
tzh	tzh	tzh/ʈʂʰ	i
tək	t ə k	t ə k	i n c
təm	t ə m	t ə m	i n c
təp	t ə p	t ə p	i n c
u	u	w	m
uəm	u ə m	u ə m	m n c
uət	u ə t	u ə t	m n c
x	x	x	i
xa	x a	x a	i n
xak	x a k	x a k	i n c
xan	x a n	x a n	i n c
xeak	x e a k	x e a k	i m n c
xu	x u	x u	i n
xə	x ə	x ə	i n
xək	x ə k	x ə k	i n c
y	y	ɥ	m
ya	y a	y a	m n
yai	y a i	y a i	m n c
yak	y a k	y a k	m n c
yei	y e i	y e i	m n c
yek	y e k	y e k	m n c
yet	y e t	y e t	m n c
yu	y u	y u	m n
yuən	y u ə n	y u ə n	i m n c
yəm	y ə m	y ə m	m n c
z	z	z	i
zh	zh	ʒ	i
zj	zj	zʲ	i
ô	ô	ô/o	n
ôk	ô k	ô/o k	n c
ə	ə	ə	n
ək	ə k	ə k	n c
ən	ə n	ə n	n c
əng	ə ng	ə ŋ	n c
ət	ə t	ə t	n c
